node_id,demand,demand_units,time_window_start,time_window_end,service_time_min,vehicle_type_hint,poi_category,customer_name
12543365684,47,4,942,1032,6,three_wheeler,amenity:hospital,TB HOSPITAL
9455028441,5,1,755,875,8,two_wheeler,amenity:bank,Andhra Bank
9462205995,14,2,515,635,6,two_wheeler,amenity:bank,HDFC Bank
9462170711,22,2,483,723,4,three_wheeler,amenity:bank,IDBI Bank
9446961347,33,3,832,952,3,three_wheeler,amenity:bank,Axis Bank
9446961345,37,4,628,748,5,three_wheeler,amenity:bank,State Bank of India
5297589434,40,1,439,619,4,three_wheeler,amenity:restaurant,Tikka
2614507396,14,1,667,907,2,two_wheeler,amenity:community_centre,Technology Club
2614507396,13,2,909,1029,9,two_wheeler,amenity:restaurant,Veggies
2613601368,42,2,589,829,8,three_wheeler,amenity:restaurant,Kalida's Canteen
5297628018,16,3,1106,1286,7,three_wheeler,amenity:library,Central Library
1361111333,6,2,968,1148,3,two_wheeler,amenity:bank,State Bank of India
2614487336,7,4,821,881,6,two_wheeler,amenity:hospital,Bidhan Chandra Roy Technology Hospital
5297589430,9,1,1146,1266,6,two_wheeler,shop:kiosk,Railway Reservation Counter
2614492894,30,2,737,827,5,three_wheeler,amenity:marketplace,Tech Market
5297589434,22,1,477,597,7,three_wheeler,amenity:restaurant,Sahara
11140840194,36,6,390,510,6,three_wheeler,amenity:restaurant,Heritage
11140840194,13,2,1036,1276,6,two_wheeler,amenity:cafe,Cafe Coffee Day
11140840195,22,2,1051,1291,6,three_wheeler,amenity:restaurant,VS Canteen
2614507396,34,3,1003,1093,5,three_wheeler,amenity:restaurant,Dreamland
11140840195,15,4,446,566,2,two_wheeler,amenity:restaurant,Billoo's
7127613425,29,3,606,726,5,three_wheeler,office:telecommunication,Hijli Telephone Exchange
2614487336,11,1,395,485,3,two_wheeler,amenity:pharmacy,Frank Ross Pharmacy
5297589430,14,2,406,466,2,two_wheeler,amenity:restaurant,IIT Staff Canteen
2613601300,14,1,589,619,8,two_wheeler,amenity:bank,Axis Bank
9446866270,7,2,806,986,8,two_wheeler,shop:confectionery,sitala  mistanna  bhandar
3682898039,30,1,415,535,7,three_wheeler,shop:gift,fancy  gift 
9465035071,13,1,1069,1309,5,two_wheeler,amenity:bank,Allahabad Bank
3599447609,20,1,742,862,7,three_wheeler,amenity:fuel,Bharat Petroleum
9447012627,30,1,550,790,5,three_wheeler,shop:supermarket,Big Bazaar
5297588210,29,3,809,899,5,three_wheeler,amenity:marketplace,Gate Bazaar
3743556430,35,3,977,1157,2,three_wheeler,amenity:school,Sacred Heart High School
5287221858,18,1,641,701,5,three_wheeler,office:educational_institution,In-Motion Train Driving Simulator (WDG-4)
9447000167,13,2,399,519,5,two_wheeler,amenity:clinic,Mercy Nursing Home
9454859259,18,1,399,579,2,three_wheeler,amenity:clinic,Sanjeevani Hill Nursing Home
11268826051,5,2,974,1214,4,two_wheeler,amenity:hospital,Quality Health Care Centre
9451619239,6,1,447,627,4,two_wheeler,amenity:hospital,Amiyaa Maternity Cum Nursing Home
9446683235,6,2,951,981,8,two_wheeler,amenity:clinic,Chakraborty Nursing Home
9457173408,8,6,694,784,6,two_wheeler,amenity:hospital,Kharagpur Sathi Health Care For Aged
9455028465,28,4,1083,1113,5,three_wheeler,amenity:hospital,Bimal Arogya Niketan
2613601368,9,2,414,474,5,two_wheeler,office:educational_institution,Robotics Lab
2613601305,14,2,1115,1235,5,two_wheeler,amenity:cafe,Astha HJB Canteen
3743556456,50,2,947,1067,4,three_wheeler,amenity:cafe,Thomas Tea Stall
3743556459,14,2,710,890,2,two_wheeler,shop:bakery,South Institute Bakery
9465695815,38,4,521,701,4,three_wheeler,amenity:fast_food,Nantu Chowmin Stall
2613601325,9,5,1181,1301,3,two_wheeler,amenity:cafe,Super Duper
2614492894,16,4,595,775,2,three_wheeler,amenity:restaurant,Peep’s Kitchen
1471100885,8,1,816,846,6,two_wheeler,amenity:cafe,Rao Canteen
2614492894,14,1,703,793,5,two_wheeler,shop:beauty,Glow In Beauty Parlour
5297589434,41,4,553,673,2,three_wheeler,amenity:fast_food,The New Tikka
2613601372,4,5,685,865,4,two_wheeler,amenity:fast_food,Subway
2613601372,29,2,501,531,6,three_wheeler,amenity:fast_food,MFS Canteen
1471100885,24,5,361,481,7,three_wheeler,shop:convenience,Rakhal Shop
12651769992,11,2,603,723,7,two_wheeler,office:educational_institution,Center for Artificial Intelligence
2613601372,6,1,464,494,5,two_wheeler,amenity:bank,HDFC Bank
11140840195,21,4,721,811,3,three_wheeler,amenity:cafe,Jayenta Night Canteen
5297628018,12,3,1033,1213,2,two_wheeler,amenity:college,Department of Mathematics
5297628018,24,1,496,616,5,three_wheeler,amenity:college,Department of Electrical Engineering
5297628018,20,2,361,451,5,three_wheeler,amenity:college,Department of Humanities and Social Science
9457375228,50,5,446,626,7,three_wheeler,amenity:commercial_stop,Customer_Stop_9457375228
9454876387,16,4,802,892,7,three_wheeler,amenity:commercial_stop,Customer_Stop_9454876387
9451969216,8,2,574,754,4,two_wheeler,amenity:commercial_stop,Customer_Stop_9451969216
9454571362,23,2,786,876,2,three_wheeler,amenity:commercial_stop,Customer_Stop_9454571362
9462206017,24,3,384,504,4,three_wheeler,amenity:commercial_stop,Customer_Stop_9462206017
9455028279,50,4,650,740,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9455028279
9455028429,41,4,717,807,4,three_wheeler,amenity:commercial_stop,Customer_Stop_9455028429
9465035680,27,3,696,876,3,three_wheeler,amenity:commercial_stop,Customer_Stop_9465035680
9452292323,50,1,856,916,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9452292323
9464978612,7,1,1063,1123,3,two_wheeler,amenity:commercial_stop,Customer_Stop_9464978612
9446961449,11,4,766,856,3,two_wheeler,amenity:commercial_stop,Customer_Stop_9446961449
9451969210,9,1,1067,1187,5,two_wheeler,amenity:commercial_stop,Customer_Stop_9451969210
9451981971,14,1,773,953,4,two_wheeler,amenity:commercial_stop,Customer_Stop_9451981971
9447088153,6,4,547,787,5,two_wheeler,amenity:commercial_stop,Customer_Stop_9447088153
4206978997,34,5,559,649,5,three_wheeler,amenity:commercial_stop,Customer_Stop_4206978997
9455198367,16,1,640,730,2,three_wheeler,amenity:commercial_stop,Customer_Stop_9455198367
9447000167,5,4,898,958,4,two_wheeler,amenity:commercial_stop,Customer_Stop_9447000167
9455136485,8,2,563,683,7,two_wheeler,amenity:commercial_stop,Customer_Stop_9455136485
9444510121,26,3,1019,1259,2,three_wheeler,amenity:commercial_stop,Customer_Stop_9444510121
9452319947,41,1,763,883,2,three_wheeler,amenity:commercial_stop,Customer_Stop_9452319947
9452043436,50,3,1086,1206,2,three_wheeler,amenity:commercial_stop,Customer_Stop_9452043436
9454571345,50,3,955,1045,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9454571345
5297588191,28,2,600,840,5,three_wheeler,amenity:commercial_stop,Customer_Stop_5297588191
9465113532,8,4,551,671,4,two_wheeler,amenity:commercial_stop,Customer_Stop_9465113532
9446898990,3,2,1030,1090,7,two_wheeler,amenity:commercial_stop,Customer_Stop_9446898990
9446961347,25,2,648,738,2,three_wheeler,amenity:commercial_stop,Customer_Stop_9446961347
9455028297,9,1,582,642,5,two_wheeler,amenity:commercial_stop,Customer_Stop_9455028297
9451868554,13,2,1170,1260,8,two_wheeler,amenity:commercial_stop,Customer_Stop_9451868554
9465240824,11,3,809,839,2,two_wheeler,amenity:commercial_stop,Customer_Stop_9465240824
9464994755,17,2,400,520,4,three_wheeler,amenity:commercial_stop,Customer_Stop_9464994755
9447183973,50,2,776,896,3,three_wheeler,amenity:commercial_stop,Customer_Stop_9447183973
9457200357,22,5,761,851,3,three_wheeler,amenity:commercial_stop,Customer_Stop_9457200357
9462197204,17,4,1112,1202,4,three_wheeler,amenity:commercial_stop,Customer_Stop_9462197204
9451690580,8,5,873,1113,7,two_wheeler,amenity:commercial_stop,Customer_Stop_9451690580
5297629638,5,4,509,689,8,two_wheeler,amenity:commercial_stop,Customer_Stop_5297629638
9451804447,13,1,486,606,4,two_wheeler,amenity:commercial_stop,Customer_Stop_9451804447
9454859278,19,1,885,975,8,three_wheeler,amenity:commercial_stop,Customer_Stop_9454859278
9462006589,50,2,396,576,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9462006589
9465050525,22,2,637,727,8,three_wheeler,amenity:commercial_stop,Customer_Stop_9465050525
9455028220,47,3,480,570,4,three_wheeler,amenity:commercial_stop,Customer_Stop_9455028220
9446687315,12,1,374,614,5,two_wheeler,amenity:commercial_stop,Customer_Stop_9446687315
9454789398,7,5,1132,1252,5,two_wheeler,amenity:commercial_stop,Customer_Stop_9454789398
9454571321,8,3,435,555,11,two_wheeler,amenity:commercial_stop,Customer_Stop_9454571321
9447239729,10,2,367,487,6,two_wheeler,amenity:commercial_stop,Customer_Stop_9447239729
9452376105,50,3,1144,1264,3,three_wheeler,amenity:commercial_stop,Customer_Stop_9452376105
9461998221,9,3,524,614,6,two_wheeler,amenity:commercial_stop,Customer_Stop_9461998221
9446929246,41,1,1071,1161,4,three_wheeler,amenity:commercial_stop,Customer_Stop_9446929246
9444550662,9,3,387,477,4,two_wheeler,amenity:commercial_stop,Customer_Stop_9444550662
9444368284,45,2,498,558,6,three_wheeler,amenity:commercial_stop,Customer_Stop_9444368284
9457189800,27,1,446,626,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9457189800
9444550676,17,3,975,1065,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9444550676
9457204926,19,4,881,1001,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9457204926
9461998193,11,1,731,911,5,two_wheeler,amenity:commercial_stop,Customer_Stop_9461998193
9451802242,29,2,548,728,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9451802242
9452280603,13,6,437,527,2,two_wheeler,amenity:commercial_stop,Customer_Stop_9452280603
9457225260,7,3,838,958,6,two_wheeler,amenity:commercial_stop,Customer_Stop_9457225260
9464947760,6,1,526,766,3,two_wheeler,amenity:commercial_stop,Customer_Stop_9464947760
9465100147,23,3,856,976,2,three_wheeler,amenity:commercial_stop,Customer_Stop_9465100147
9446893194,50,1,896,1076,4,three_wheeler,amenity:commercial_stop,Customer_Stop_9446893194
9447288154,22,3,972,1212,5,three_wheeler,amenity:commercial_stop,Customer_Stop_9447288154
9465252989,17,1,745,925,3,three_wheeler,amenity:commercial_stop,Customer_Stop_9465252989
